size,price,Date,City,District
16,2200,2023-07-13,Warszawa,Mokotów
51,1900,2023-07-15,Warszawa,Praga-Północ
23,2600,2023-07-12,Warszawa,Żoliborz
27,2500,2023-07-15,Warszawa,Śródmieście
38,2700,2023-07-15,Warszawa,Wola
67,3700,2023-07-15,Warszawa,Ursus
38,3400,2023-07-15,Warszawa,Praga-Południe
70,4600,2023-07-15,Warszawa,Bemowo
32,2300,2023-07-15,Warszawa,Śródmieście
34,2500,2023-07-15,Warszawa,Mokotów
42,3950,2023-07-15,Warszawa,Mokotów
35,3500,2023-07-15,Warszawa,Włochy
57,4300,2023-07-15,Warszawa,Śródmieście
68,5300,2023-06-30,Warszawa,Mokotów
23,2402,2023-07-15,Warszawa,Mokotów
55,4000,2023-07-14,Warszawa,Mokotów
55,3000,2023-07-15,Warszawa,Targówek
85,4700,2023-07-15,Warszawa,Ursynów
46,3200,2023-07-15,Warszawa,Włochy
45,3200,2023-07-15,Warszawa,Bemowo
58,3760,2023-07-15,Warszawa,Ochota
30,2700,2023-07-15,Warszawa,Włochy
73,3900,2023-07-15,Warszawa,Śródmieście
36,3300,2023-07-15,Warszawa,Białołęka
55,6400,2023-07-15,Warszawa,Wola
38,3000,2023-07-15,Warszawa,Białołęka
30,3000,2023-07-14,Warszawa,Wilanów
34,3000,2023-07-12,Warszawa,Targówek
50,4000,2023-07-14,Warszawa,Wola
27,2950,2023-07-15,Warszawa,Wola
56,4000,2023-07-15,Warszawa,Mokotów
28,2600,2023-07-15,Warszawa,Bemowo
46,3500,2023-07-15,Warszawa,Wola
20,3000,2023-07-15,Warszawa,Śródmieście
100,7300,2023-07-15,Warszawa,Śródmieście
42,2400,2023-07-15,Warszawa,Śródmieście
28,2100,2023-07-15,Warszawa,Wola
54,3700,2023-07-15,Warszawa,Bemowo
35,2125,2023-07-15,Warszawa,Mokotów
23,2600,2023-07-13,Warszawa,Wola
22,3000,2023-07-13,Warszawa,Wola
50,2800,2023-07-10,Warszawa,Włochy
53,3600,2023-07-15,Warszawa,Wilanów
36,3450,2023-07-15,Warszawa,Mokotów
54,4999,2023-07-15,Warszawa,Ochota
45,4999,2023-07-15,Warszawa,Mokotów
50,2900,2023-07-15,Warszawa,Bemowo
28,2800,2023-07-15,Warszawa,Włochy
37,3300,2023-07-15,Warszawa,Bemowo
30,3000,2023-07-15,Warszawa,Mokotów
50,3400,2023-07-15,Warszawa,Bemowo
43,3800,2023-07-15,Warszawa,Ochota
68,5300,2023-06-30,Warszawa,Mokotów
42,3800,2023-07-14,Warszawa,Mokotów
70,6000,2023-07-14,Warszawa,Mokotów
30,2100,2023-07-15,Warszawa,Bielany
38,2000,2023-07-15,Warszawa,Wawer
20,2000,2023-07-15,Warszawa,Rembertów
20,2200,2023-07-15,Warszawa,Śródmieście
39,2900,2023-07-15,Warszawa,Ursynów
49,3600,2023-07-15,Warszawa,Ursynów
48,3900,2023-07-15,Warszawa,Wesoła
36,2750,2023-07-15,Warszawa,Mokotów
12,2050,2023-07-15,Warszawa,Praga-Południe
29,2400,2023-07-15,Warszawa,Bielany
85,4800,2023-07-13,Warszawa,Ochota
33,3100,2023-07-08,Warszawa,Bemowo
37,3500,2023-07-06,Warszawa,Żoliborz
42,3700,2023-07-15,Warszawa,Śródmieście
51,3900,2023-07-15,Warszawa,Wola
35,2900,2023-07-15,Warszawa,Włochy
49,2800,2023-07-15,Warszawa,Targówek
51,2200,2023-07-15,Warszawa,Praga-Południe
44,3550,2023-07-15,Warszawa,Praga-Południe
74,6000,2023-07-15,Warszawa,Mokotów
38,2700,2023-07-15,Warszawa,Mokotów
62,2700,2023-07-15,Warszawa,Praga-Południe
36,4500,2023-07-15,Warszawa,Wola
20,2600,2023-07-12,Warszawa,Bemowo
70,4499,2023-07-14,Warszawa,Praga-Północ
33,2800,2023-07-14,Warszawa,Włochy
27,2500,2023-07-15,Warszawa,Praga-Północ
38,2300,2023-07-15,Warszawa,Białołęka
20,2600,2023-07-15,Warszawa,Wola
23,2402,2023-07-15,Warszawa,Mokotów
36,3386,2023-07-15,Warszawa,Mokotów
50,3400,2023-07-15,Warszawa,Mokotów
50,2000,2023-07-15,Warszawa,Mokotów
51,1900,2023-07-15,Warszawa,Praga-Północ
57,4999,2023-07-15,Warszawa,Mokotów
36,3000,2023-07-15,Warszawa,Mokotów
40,3500,2023-07-10,Warszawa,Białołęka
35,2000,2023-07-14,Warszawa,Ochota
71,4000,2023-07-01,Warszawa,Bemowo
33,2350,2023-07-15,Warszawa,Bielany
33,3360,2023-07-15,Warszawa,Mokotów
38,2400,2023-07-15,Warszawa,Targówek
32,2200,2023-07-15,Warszawa,Żoliborz
41,4300,2023-07-15,Warszawa,Śródmieście
47,4300,2023-07-15,Warszawa,Wola
37,3700,2023-07-15,Warszawa,Wola
28,2300,2023-07-15,Warszawa,Wesoła
47,2800,2023-07-15,Warszawa,Targówek
36,3100,2023-07-15,Warszawa,Praga-Północ
34,3000,2023-07-12,Warszawa,Targówek
30,3100,2023-07-15,Warszawa,Mokotów
47,4720,2023-07-14,Warszawa,Śródmieście
51,4200,2023-07-15,Warszawa,Ochota
25,2500,2023-07-15,Warszawa,Wola
45,2500,2023-07-15,Warszawa,Wawer
34,2750,2023-07-15,Warszawa,Bemowo
25,2300,2023-07-15,Warszawa,Śródmieście
62,3000,2023-07-15,Warszawa,Włochy
40,3300,2023-07-15,Warszawa,Mokotów
55,2500,2023-07-15,Warszawa,Ursus
25,2400,2023-07-15,Warszawa,Wola
14,1687,2023-07-14,Warszawa,Praga-Południe
49,3600,2023-07-15,Warszawa,Ursynów
40,2900,2023-07-13,Warszawa,Praga-Południe
42,3000,2023-07-15,Warszawa,Ursynów
27,2900,2023-07-15,Warszawa,Wola
32,2300,2023-07-15,Warszawa,Wola
41,3000,2023-07-15,Warszawa,Śródmieście
64,5000,2023-07-15,Warszawa,Praga-Północ
44,2400,2023-07-15,Warszawa,Targówek
42,3000,2023-07-15,Warszawa,Mokotów
36,3280,2023-07-15,Warszawa,Ursus
40,2800,2023-07-15,Warszawa,Ursynów
33,2500,2023-07-15,Warszawa,Żoliborz
35,2550,2023-07-14,Warszawa,Praga-Południe
33,1900,2023-07-09,Warszawa,Śródmieście
58,3700,2023-07-12,Warszawa,Wola
45,3200,2023-07-15,Warszawa,Wola
25,2400,2023-07-15,Warszawa,Śródmieście
38,2900,2023-07-15,Warszawa,Bielany
53,3300,2023-07-15,Warszawa,Ursus
46,3600,2023-07-15,Warszawa,Białołęka
22,2200,2023-07-15,Warszawa,Mokotów
30,3000,2023-07-15,Warszawa,Bielany
160,12000,2023-07-15,Warszawa,Bemowo
35,2550,2023-07-15,Warszawa,Bemowo
32,2000,2023-07-15,Warszawa,Białołęka
66,8500,2023-07-14,Warszawa,Mokotów
33,3386,2023-07-14,Warszawa,Mokotów
22,2000,2023-07-14,Warszawa,Ursynów
38,3600,2023-07-15,Warszawa,Śródmieście
53,3800,2023-07-15,Warszawa,Praga-Południe
57,4999,2023-07-15,Warszawa,Mokotów
37,2900,2023-07-15,Warszawa,Bielany
67,4900,2023-07-15,Warszawa,Wilanów
12,900,2023-07-15,Warszawa,Żoliborz
42,3950,2023-07-15,Warszawa,Mokotów
40,3000,2023-07-15,Warszawa,Ursus
50,3500,2023-07-15,Warszawa,Bemowo
78,4800,2023-07-15,Warszawa,Praga-Południe
35,2550,2023-07-14,Warszawa,Praga-Południe
40,4000,2023-07-13,Warszawa,Mokotów
37,3500,2023-07-06,Warszawa,Żoliborz
26,2500,2023-07-15,Warszawa,Śródmieście
60,3900,2023-07-15,Warszawa,Wilanów
55,2600,2023-07-15,Warszawa,Białołęka
37,2200,2023-07-15,Warszawa,Ochota
41,2700,2023-07-15,Warszawa,Białołęka
56,3500,2023-07-15,Warszawa,Praga-Południe
42,3000,2023-07-15,Warszawa,Włochy
48,3400,2023-07-15,Warszawa,Bemowo
44,3000,2023-07-15,Warszawa,Ursus
20,2999,2023-07-15,Warszawa,Śródmieście
122,13000,2023-07-13,Warszawa,Wilanów
50,3500,2023-07-12,Warszawa,Mokotów
70,35,2023-07-14,Warszawa,Żoliborz
48,3600,2023-07-14,Warszawa,Wola
38,3300,2023-07-14,Warszawa,Ochota
53,3600,2023-07-14,Warszawa,Bemowo
55,4000,2023-07-14,Warszawa,Mokotów
80,3500,2023-07-14,Warszawa,Wawer
95,5500,2023-07-14,Warszawa,Mokotów
57,2500,2023-07-14,Warszawa,Bemowo
33,2500,2023-07-14,Warszawa,Mokotów
51,3000,2023-07-14,Warszawa,Mokotów
55,3500,2023-07-14,Warszawa,Targówek
32,2490,2023-07-12,Warszawa,Ursus
22,2000,2023-07-14,Warszawa,Ursynów
30,2990,2023-07-13,Warszawa,Żoliborz
33,2500,2023-07-14,Warszawa,Mokotów
27,2000,2023-07-14,Warszawa,Wola
33,2800,2023-07-14,Warszawa,Włochy
27,2880,2023-07-14,Warszawa,Ursynów
24,2600,2023-07-14,Warszawa,Ursynów
71,6700,2023-07-14,Warszawa,Mokotów
39,4000,2023-07-14,Warszawa,Bemowo
35,2500,2023-07-14,Warszawa,Praga-Południe
44,2600,2023-07-14,Warszawa,Białołęka
52,3500,2023-07-14,Warszawa,Śródmieście
65,4500,2023-07-14,Warszawa,Ursynów
51,3300,2023-07-06,Warszawa,Wola
55,3400,2023-07-10,Warszawa,Bemowo
48,3800,2023-07-14,Warszawa,Praga-Południe
24,3000,2023-07-14,Warszawa,Żoliborz
48,3000,2023-07-14,Warszawa,Mokotów
38,2900,2023-07-14,Warszawa,Białołęka
53,3600,2023-07-14,Warszawa,Włochy
42,3800,2023-07-14,Warszawa,Mokotów
47,3600,2023-07-14,Warszawa,Żoliborz
41,2950,2023-07-14,Warszawa,Ursynów
49,2500,2023-07-14,Warszawa,Mokotów
46,3500,2023-07-14,Warszawa,Włochy
40,3300,2023-07-12,Warszawa,Praga-Południe
36,3200,2023-07-12,Warszawa,Włochy
30,3000,2023-07-15,Warszawa,Bielany
46,3500,2023-07-14,Warszawa,Włochy
53,3200,2023-07-14,Warszawa,Białołęka
43,2600,2023-07-14,Warszawa,Targówek
75,2300,2023-07-14,Warszawa,Wola
47,2800,2023-07-14,Warszawa,Ursynów
25,2200,2023-07-14,Warszawa,Wesoła
113,5000,2023-07-14,Warszawa,Ursynów
62,4850,2023-07-14,Warszawa,Wola
22,2000,2023-07-14,Warszawa,Ursynów
76,6800,2023-07-14,Warszawa,Ursus
50,2800,2023-07-07,Warszawa,Bemowo
54,4999,2023-07-15,Warszawa,Ochota
67,4900,2023-07-15,Warszawa,Wilanów
44,3600,2023-07-14,Warszawa,Żoliborz
92,7000,2023-07-14,Warszawa,Ochota
24,2400,2023-07-14,Warszawa,Bielany
47,3800,2023-07-14,Warszawa,Wilanów
31,2600,2023-07-14,Warszawa,Żoliborz
26,2500,2023-07-14,Warszawa,Bielany
65,5000,2023-07-14,Warszawa,Żoliborz
94,3900,2023-07-14,Warszawa,Białołęka
27,2350,2023-07-14,Warszawa,Bielany
70,35,2023-07-14,Warszawa,Żoliborz
32,2490,2023-07-12,Warszawa,Ursus
44,2500,2023-07-13,Warszawa,Praga-Południe
50,3000,2023-07-12,Warszawa,Włochy
18,2380,2023-07-14,Warszawa,Wola
32,2300,2023-07-14,Warszawa,Białołęka
31,2700,2023-07-14,Warszawa,Ursynów
60,4900,2023-07-14,Warszawa,Śródmieście
46,3200,2023-07-14,Warszawa,Ursynów
110,4000,2023-07-14,Warszawa,Włochy
52,3400,2023-07-14,Warszawa,Praga-Południe
45,3800,2023-07-14,Warszawa,Śródmieście
38,2200,2023-07-14,Warszawa,Bemowo
88,6200,2023-07-14,Warszawa,Ochota
40,2800,2023-07-15,Warszawa,Ursynów
48,3400,2023-07-15,Warszawa,Bemowo
37,3700,2023-07-13,Warszawa,Śródmieście
50,4000,2023-07-14,Warszawa,Wola
18,2100,2023-07-14,Warszawa,Ochota
47,3000,2023-07-14,Warszawa,Białołęka
35,3250,2023-07-14,Warszawa,Mokotów
103,9500,2023-07-14,Warszawa,Mokotów
46,6000,2023-07-14,Warszawa,Ochota
43,3400,2023-07-14,Warszawa,Wola
47,4720,2023-07-14,Warszawa,Śródmieście
72,7900,2023-07-14,Warszawa,Wola
29,2200,2023-07-14,Warszawa,Włochy
33,2800,2023-07-14,Warszawa,Włochy
44,2700,2023-07-12,Warszawa,Białołęka
25,2500,2023-07-15,Warszawa,Wola
42,3000,2023-07-14,Warszawa,Mokotów
40,2800,2023-07-14,Warszawa,Białołęka
52,5700,2023-07-14,Warszawa,Wola
35,2100,2023-07-14,Warszawa,Ochota
67,5000,2023-07-14,Warszawa,Targówek
39,2200,2023-07-14,Warszawa,Wola
38,3200,2023-07-14,Warszawa,Mokotów
49,3200,2023-07-14,Warszawa,Praga-Północ
37,2450,2023-07-14,Warszawa,Praga-Północ
40,3300,2023-07-14,Warszawa,Praga-Południe
76,3999,2023-07-13,Warszawa,Praga-Południe
34,3710,2023-07-14,Warszawa,Mokotów
50,2700,2023-07-14,Warszawa,Praga-Północ
32,3500,2023-07-14,Warszawa,Wola
38,3500,2023-07-14,Warszawa,Ursus
44,5300,2023-07-14,Warszawa,Wola
33,5600,2023-07-14,Warszawa,Wola
95,6000,2023-07-14,Warszawa,Mokotów
35,4030,2023-07-14,Warszawa,Ursus
36,3200,2023-07-14,Warszawa,Śródmieście
38,4000,2023-07-14,Warszawa,Wola
52,3399,2023-07-14,Warszawa,Praga-Północ
80,10150,2023-07-14,Warszawa,Praga-Południe
35,2700,2023-07-12,Warszawa,Ursynów
84,6800,2023-07-14,Warszawa,Wilanów
44,3000,2023-07-15,Warszawa,Ursus
60,2800,2023-07-14,Warszawa,Praga-Południe
30,3250,2023-07-14,Warszawa,Mokotów
27,1999,2023-07-14,Warszawa,Białołęka
60,3500,2023-07-14,Warszawa,Ursynów
50,2900,2023-07-14,Warszawa,Praga-Południe
34,2700,2023-07-14,Warszawa,Ursynów
65,3400,2023-07-14,Warszawa,Włochy
49,2400,2023-07-14,Warszawa,Praga-Południe
57,5200,2023-07-14,Warszawa,Wola
147,6800,2023-07-14,Warszawa,Ursynów
48,3200,2023-07-13,Warszawa,Białołęka
50,3800,2023-07-07,Warszawa,Mokotów
33,3360,2023-07-15,Warszawa,Mokotów
38,2900,2023-07-14,Warszawa,Śródmieście
30,2999,2023-07-14,Warszawa,Żoliborz
31,2800,2023-07-14,Warszawa,Ursynów
60,4500,2023-07-14,Warszawa,Ursynów
42,2300,2023-07-14,Warszawa,Mokotów
50,4500,2023-07-14,Warszawa,Włochy
32,2500,2023-07-14,Warszawa,Praga-Południe
50,3900,2023-07-14,Warszawa,Mokotów
63,3700,2023-07-14,Warszawa,Wilanów
65,6200,2023-07-14,Warszawa,Mokotów
67,3650,2023-07-13,Warszawa,Wola
56,3300,2023-07-13,Warszawa,Mokotów
35,2700,2023-07-12,Warszawa,Ursynów
14,1687,2023-07-14,Warszawa,Praga-Południe
32,2999,2023-07-14,Warszawa,Targówek
82,5200,2023-07-14,Warszawa,Żoliborz
24,2500,2023-07-14,Warszawa,Śródmieście
50,3300,2023-07-14,Warszawa,Praga-Południe
24,2500,2023-07-14,Warszawa,Wawer
50,3000,2023-07-14,Warszawa,Praga-Południe
38,2950,2023-07-14,Warszawa,Bielany
52,5500,2023-07-14,Warszawa,Praga-Północ
50,3200,2023-07-14,Warszawa,Żoliborz
26,2500,2023-07-14,Warszawa,Włochy
30,3100,2023-07-15,Warszawa,Mokotów
21,3000,2023-07-13,Warszawa,Wola
29,2450,2023-07-14,Warszawa,Ursus
35,3600,2023-07-14,Warszawa,Wola
30,2200,2023-07-14,Warszawa,Wawer
45,3950,2023-07-14,Warszawa,Wola
63,4100,2023-07-14,Warszawa,Mokotów
81,6500,2023-07-14,Warszawa,Praga-Południe
50,3200,2023-07-14,Warszawa,Żoliborz
29,3500,2023-07-14,Warszawa,Włochy
49,3200,2023-07-14,Warszawa,Wawer
40,2300,2023-07-14,Warszawa,Bemowo
31,4150,2023-07-14,Warszawa,Wola
62,5700,2023-07-13,Warszawa,Mokotów
38,3000,2023-07-15,Warszawa,Białołęka
35,2800,2023-07-14,Warszawa,Ursynów
20,2000,2023-07-14,Warszawa,Praga-Południe
62,3500,2023-07-14,Warszawa,Praga-Południe
46,3700,2023-07-14,Warszawa,Praga-Południe
47,2700,2023-07-14,Warszawa,Targówek
39,3100,2023-07-14,Warszawa,Śródmieście
38,3300,2023-07-14,Warszawa,Praga-Południe
30,3000,2023-07-14,Warszawa,Wola
73,4500,2023-07-14,Warszawa,Wola
53,3300,2023-07-14,Warszawa,Targówek
38,3300,2023-07-14,Warszawa,Praga-Południe
55,3400,2023-07-10,Warszawa,Bemowo
65,4500,2023-07-14,Warszawa,Ursynów
34,2600,2023-07-14,Warszawa,Targówek
41,4000,2023-07-14,Warszawa,Wola
66,5200,2023-07-14,Warszawa,Białołęka
28,2750,2023-07-14,Warszawa,Praga-Północ
70,6000,2023-07-14,Warszawa,Mokotów
37,2000,2023-07-14,Warszawa,Białołęka
64,3500,2023-07-14,Warszawa,Bielany
58,3600,2023-07-14,Warszawa,Śródmieście
43,3300,2023-07-14,Warszawa,Wola
40,2500,2023-07-14,Warszawa,Ursus
20,2700,2023-06-16,Warszawa,Włochy
48,3690,2023-07-14,Warszawa,Wola
45,3400,2023-07-13,Warszawa,Bemowo
70,4499,2023-07-14,Warszawa,Praga-Północ
38,2980,2023-07-14,Warszawa,Praga-Południe
30,2999,2023-07-14,Warszawa,Żoliborz
41,3300,2023-07-14,Warszawa,Wilanów
56,4300,2023-07-14,Warszawa,Praga-Południe
44,5100,2023-07-14,Warszawa,Wola
43,3900,2023-07-14,Warszawa,Praga-Północ
26,2600,2023-07-14,Warszawa,Praga-Południe
35,2596,2023-07-14,Warszawa,Mokotów
44,3200,2023-07-14,Warszawa,Bemowo
46,3470,2023-06-30,Warszawa,Ursynów
70,850,2023-07-14,Warszawa,Praga-Południe
35,2800,2023-07-14,Warszawa,Ursynów
73,6700,2023-07-14,Warszawa,Wola
35,2800,2023-07-14,Warszawa,Włochy
45,3300,2023-07-14,Warszawa,Ursynów
54,4500,2023-07-14,Warszawa,Śródmieście
49,3600,2023-07-14,Warszawa,Mokotów
68,3500,2023-07-14,Warszawa,Włochy
40,2200,2023-07-14,Warszawa,Praga-Południe
48,4000,2023-07-14,Warszawa,Mokotów
58,3000,2023-07-14,Warszawa,Praga-Południe
12,1400,2023-07-14,Warszawa,Praga-Północ
45,3300,2023-07-13,Warszawa,Praga-Północ
49,3600,2023-07-14,Warszawa,Mokotów
55,3500,2023-07-14,Warszawa,Białołęka
38,3550,2023-07-14,Warszawa,Wola
42,3300,2023-07-14,Warszawa,Włochy
87,4400,2023-07-14,Warszawa,Bemowo
46,3230,2023-07-14,Warszawa,Włochy
41,5000,2023-07-14,Warszawa,Śródmieście
56,4200,2023-07-14,Warszawa,Mokotów
32,2600,2023-07-14,Warszawa,Targówek
27,2700,2023-07-14,Warszawa,Praga-Południe
48,1100,2023-07-14,Warszawa,Praga-Południe
80,9000,2023-07-14,Warszawa,Śródmieście
15,2400,2023-07-12,Warszawa,Bemowo
41,2950,2023-07-14,Warszawa,Ursynów
23,2600,2023-07-12,Warszawa,Żoliborz
84,6800,2023-07-14,Warszawa,Wilanów
44,3900,2023-07-14,Warszawa,Wola
20,2199,2023-07-14,Warszawa,Białołęka
26,2500,2023-07-14,Warszawa,Włochy
65,5900,2023-07-14,Warszawa,Mokotów
35,3280,2023-07-14,Warszawa,Ursus
64,5500,2023-07-14,Warszawa,Ursus
18,1350,2023-07-14,Warszawa,Bielany
96,6600,2023-07-14,Warszawa,Ursynów
40,5000,2023-07-14,Warszawa,Śródmieście
30,3000,2023-07-14,Warszawa,Wilanów
48,3500,2023-07-13,Warszawa,Ursynów
34,2400,2023-07-06,Warszawa,Białołęka
117,12000,2023-07-14,Warszawa,Ochota
35,2500,2023-07-14,Warszawa,Bielany
72,2600,2023-07-14,Warszawa,Ochota
64,3600,2023-07-14,Warszawa,Wesoła
122,4000,2023-07-14,Warszawa,Wilanów
38,3100,2023-07-14,Warszawa,Śródmieście
69,4300,2023-07-14,Warszawa,Wilanów
55,4500,2023-07-14,Warszawa,Bielany
36,3000,2023-07-14,Warszawa,Ochota
55,3500,2023-07-14,Warszawa,Białołęka
54,4500,2023-07-14,Warszawa,Śródmieście
27,2880,2023-07-14,Warszawa,Ursynów
48,3400,2023-07-10,Warszawa,Śródmieście
70,850,2023-07-14,Warszawa,Praga-Południe
34,2700,2023-07-14,Warszawa,Ursus
68,5500,2023-07-14,Warszawa,Żoliborz
40,2700,2023-07-14,Warszawa,Śródmieście
39,3500,2023-07-14,Warszawa,Wola
48,3690,2023-07-14,Warszawa,Wola
48,3400,2023-07-14,Warszawa,Praga-Północ
37,3200,2023-07-14,Warszawa,Wola
45,4500,2023-07-14,Warszawa,Bemowo
50,4500,2023-07-14,Warszawa,Ochota
57,4600,2023-07-12,Warszawa,Białołęka
44,3350,2023-07-13,Warszawa,Bielany
51,6060,2023-07-14,Warszawa,Mokotów
28,3500,2023-07-14,Warszawa,Wola
39,2300,2023-07-14,Warszawa,Białołęka
36,2950,2023-07-14,Warszawa,Wola
32,3200,2023-07-14,Warszawa,Włochy
41,2500,2023-07-14,Warszawa,Ochota
29,2400,2023-07-14,Warszawa,Praga-Południe
38,3400,2023-07-14,Warszawa,Mokotów
68,5000,2023-07-14,Warszawa,Wola
29,1790,2023-07-14,Warszawa,Targówek
20,2800,2023-07-14,Warszawa,Mokotów
50,2800,2023-07-10,Warszawa,Włochy
25,2400,2023-07-15,Warszawa,Wola
62,5700,2023-07-13,Warszawa,Mokotów
65,6200,2023-07-14,Warszawa,Wola
45,3700,2023-07-14,Warszawa,Wola
35,5950,2023-07-14,Warszawa,Śródmieście
32,2900,2023-07-14,Warszawa,Mokotów
30,2650,2023-07-14,Warszawa,Śródmieście
30,2900,2023-07-14,Warszawa,Śródmieście
59,3800,2023-07-14,Warszawa,Białołęka
48,3690,2023-07-14,Warszawa,Wola
39,2200,2023-07-14,Warszawa,Targówek
33,2400,2023-07-14,Warszawa,Praga-Północ
43,3400,2023-07-14,Warszawa,Wola
37,4150,2023-07-13,Warszawa,Wola
30,3000,2023-07-13,Warszawa,Mokotów
66,8500,2023-07-14,Warszawa,Mokotów
26,2700,2023-07-14,Warszawa,Bielany
42,1700,2023-07-14,Warszawa,Mokotów
56,3000,2023-07-14,Warszawa,Praga-Południe
50,3935,2023-07-14,Warszawa,Mokotów
43,2800,2023-07-14,Warszawa,Praga-Południe
37,3700,2023-07-14,Warszawa,Wola
37,2300,2023-07-14,Warszawa,Ochota
35,3380,2023-07-14,Warszawa,Ochota
44,4800,2023-07-14,Warszawa,Praga-Północ
51,3300,2023-07-06,Warszawa,Wola
27,2500,2023-07-13,Warszawa,Śródmieście
51,6060,2023-07-14,Warszawa,Mokotów
42,3000,2023-07-14,Warszawa,Praga-Południe
35,2650,2023-07-14,Warszawa,Ursus
42,3950,2023-07-14,Warszawa,Mokotów
25,2200,2023-07-14,Warszawa,Bielany
51,2950,2023-07-14,Warszawa,Wola
99,8500,2023-07-14,Warszawa,Mokotów
46,6000,2023-07-14,Warszawa,
48,4300,2023-07-14,Warszawa,Mokotów
23,2680,2023-07-14,Warszawa,Mokotów
34,4600,2023-07-14,Warszawa,Wola
40,3300,2023-07-15,Warszawa,Mokotów
55,3400,2023-07-10,Warszawa,Bemowo
22,3000,2023-07-13,Warszawa,Wola
53,4200,2023-07-14,Warszawa,Mokotów
43,3599,2023-07-14,Warszawa,Śródmieście
34,3680,2023-07-14,Warszawa,Mokotów
36,3770,2023-07-14,Warszawa,Mokotów
51,6060,2023-07-14,Warszawa,Mokotów
34,3710,2023-07-14,Warszawa,Mokotów
23,2790,2023-07-14,Warszawa,Mokotów
43,4900,2023-07-14,Warszawa,Wola
48,2700,2023-07-14,Warszawa,Bielany
64,5450,2023-07-14,Warszawa,Wilanów
50,3400,2023-07-15,Warszawa,Mokotów
48,3690,2023-07-14,Warszawa,Wola
32,2490,2023-07-12,Warszawa,Ursus
38,3450,2023-07-14,Warszawa,Praga-Południe
33,3620,2023-07-14,Warszawa,Mokotów
25,2870,2023-07-14,Warszawa,Mokotów
60,7050,2023-07-14,Warszawa,Mokotów
34,3680,2023-07-14,Warszawa,Mokotów
50,3000,2023-07-14,Warszawa,Mokotów
65,4500,2023-07-14,Warszawa,Ursynów
50,3300,2023-07-14,Warszawa,Bemowo
33,3386,2023-07-14,Warszawa,Mokotów
40,2800,2023-07-14,Warszawa,Bemowo
40,3250,2023-07-12,Warszawa,Żoliborz
30,3599,2023-07-13,Warszawa,Śródmieście
35,3350,2023-07-13,Warszawa,Wola
40,2800,2023-07-14,Warszawa,Bemowo
50,2600,2023-07-14,Warszawa,Ochota
110,13500,2023-07-14,Warszawa,Śródmieście
35,3000,2023-07-14,Warszawa,Wola
43,3600,2023-07-14,Warszawa,Żoliborz
47,2600,2023-07-14,Warszawa,Ochota
3,200,2023-07-14,Warszawa,Wola
47,3800,2023-07-14,Warszawa,Białołęka
42,2400,2023-07-14,Warszawa,Bielany
45,7000,2023-07-14,Warszawa,Śródmieście
160,12000,2023-07-12,Warszawa,Bemowo
18,1793,2023-07-14,Warszawa,Ursus
22,2000,2023-07-14,Warszawa,Ursynów
53,3500,2023-07-14,Warszawa,Śródmieście
50,2300,2023-07-14,Warszawa,Praga-Południe
